xia_01|鳳凰女帝|金殿王座
xia_02|雪宮女帝|白金朝服
xia_03|黑玉女帝|暗宮權謀
xia_04|蓮台渡劫聖女|城樓守望
xia_05|雪峰孤劍客|長廊花箋
xia_06|天書守卷仙官|戰後歸城
xia_07|白衣御劍師姐|祕道回聲
xia_08|玄冰禁術女尊|石階邀約
xia_09|謫仙|雲門乍閉
xia_10|九天玄女|萬劍朝聖
xia_11|鏡湖仙子|倒映天地
xia_12|蓮台渡劫聖女|燈影回廊
xia_13|紫霄雷劫真仙|法相天地
xia_14|瑤池撫琴仙子|仙樂飄渺
xia_15|青蓮劍仙尊者|孤影殘陽
xia_16|荒古血脈妖皇|王血覺醒
xia_17|九幽煉魂魔尊|萬鬼伏朝
xia_18|太境守墓神官|萬世孤寂
xia_19|赤陽金烏神女|烈焰焚天
xia_20|寒潭聽雨劍姬|劍意留痕
xia_21|星辰推演神算|天道玄機
xia_22|涅槃火鳳聖尊|浴火重生
xia_23|星象渾天儀女仙|天文台觀星
hf_01|漢宮紅袖女史|漢宮長廊
hf_02|魏晉竹林清談|竹林石案
hf_03|盛唐牡丹遊園|牡丹花園
hf_04|宋代茶席雅女|茶席窗邊
hf_05|明制雲肩貴女|雕花門樓
hf_06|清宮雪夜格格|紅牆雪景
hf_07|敦煌反彈琵琶|壁畫飛天
hf_08|江南雨巷白傘|煙雨小巷
hf_09|長安夜市提燈|市集燈火
hf_10|洛神水畔凌波|洛水河邊
hf_11|初唐胡風騎馬|西域風情
hf_12|盛唐坦領石榴裙|芙蓉花園
hf_13|宋代點茶白瓷席|宋瓷茶境
hf_14|明代馬面裙園林|蘇州庭院
hf_15|清代點翠頭面|鳳冠霞帔
hf_16|漢服花朝節花神|百花爭艷
hf_17|漢服中秋桂影|月下庭院
hf_18|漢服元宵燈海|燈火璀璨
hf_19|漢服端午蘭湯|蘭草香囊
hf_20|漢服桃花春日|踏青郊外
hf_21|秦代高髻佳人|咸陽宮闕
hf_22|魏晉廣袖飛仙|蘭亭曲水
hf_23|盛唐霓裳羽衣|華清御池
hf_24|宋代褙子幽蘭|臨安聽雨
hf_25|明制襖裙刺繡|金陵雪景
hf_26|清代旗裝踏雪|紫禁紅牆
hf_27|漢服七夕乞巧|星河鵲橋
hf_28|漢服重陽登高|茱萸遍插
hf_29|漢服清明踏青|風箏斷線
hf_30|唐風敦煌飛天|莫高窟壁
hf_31|漢代繞襟長裙|曲臺歌舞
hf_32|魏晉木屐名士|東山隱逸
hf_33|盛唐胡旋舞姬|絲路駝鈴
hf_34|宋代採蓮曲女|江南荷塘
hf_35|明代鳳冠霞帔|十里紅妝
hf_36|漢服上巳春禊|流觴飄絮
hf_37|漢服冬至踏雪|圍爐煮茶
hf_38|漢服臘八施粥|佛寺鐘聲
hf_39|唐風花鈿仕女|曲江池畔
hf_40|宋朝燒香點茶|文人雅集
hf_41|粉色廣袖宮廷|宮廷廣袖
hf_42|絲路月牙泉|敦煌沙月
or_01|竹影琴室雅集|古琴品茗
or_02|青瓷茶席仕女|青瓷品茗
or_03|朱門雪落回廊|紅門雪意
or_04|黑瓦白牆庭院|水墨庭院
or_05|金箔屏風肖像|金屏前影
or_06|蘭亭曲水流觴|蘭亭雅集
or_07|松下棋局貴女|棋盤對弈
or_08|牡丹窗格晨光|花窗晨曦
or_09|香爐煙霧宮燈|煙霧繚繞
or_10|古琴月窗側影|月光琴影
or_11|翠竹屏風青衣|竹影青韻
or_12|梅枝雪窗半身|梅雪相映
or_13|龍紋柱廊正影|龍柱廊道
or_14|古寺鐘聲晨霧|禪寺晨鐘
or_15|水墨扇面人像|扇面水墨
dg_01|絲絨吸血伯爵夫人|哥德城堡
dg_02|黑天鵝魔女集會|石廳月光
dg_03|猩紅荊棘女王|玫瑰宮殿
dg_04|午夜蕾絲新娘|廢棄禮拜堂
dg_05|黑曜石秘法師|暗黑圖書塔
dg_06|血月祭舞者|崖台血月
dg_07|哥德鋼琴繆思|舊莊園琴室
dg_08|深海黑珍珠海妖|深海暗宮
dg_09|黑街魔性繼承人|暗夜街頭
dg_10|毒藤蔓荊女巫|荒廢溫室
dg_11|幽靈新娘鐘樓|古鐘樓
dg_12|暗夜鴉后|黑羽王座
dg_13|迷失吸血鬼新娘|禁忌血堂
dg_14|暗夜荊棘古堡|枯萎花園
dg_15|煉獄黑曜騎士|鐵血王座
dg_16|黑魔法占星師|星象高塔
dg_17|幽冥骷髏領主|白骨荒野
dg_18|亡靈鋼琴詩人|破敗歌劇院
dg_19|深淵詛咒海怪|沉船墓場
dg_20|黑夜詛咒狼人|月圓孤嶺
dg_21|毒鴆黑鴉女巫|迷霧森林
dg_22|古墓幽魂怨靈|地底暗室
dg_23|惡魔契約法師|召喚法陣
dg_24|哥德蘿莉傀儡|人偶廢墟
dg_25|末日審判天使|斷壁殘垣
dg_26|黑紗骷髏新娘|荒涼墓園
dg_27|血色玫瑰伯爵|黃昏古堡
dg_28|暗黑聖經祭司|廢棄修道院
dg_29|迷霧死神信使|黃泉渡口
dg_30|荊棘黑羽精靈|夜幕幽谷
dg_31|深淵黑洞主宰|星雲裂隙
dg_32|黑街暗夜刺客|雨夜小巷
dg_33|惡靈傀儡樂師|破舊風琴室
dg_34|黑曜石石像鬼|教堂尖頂
dg_35|幽冥地獄犬主|烈火焦土
dg_36|詛咒黃金法老|暗黑金字塔
dg_37|暗夜幽靈船長|幽靈古船
dg_38|黑霧復仇影者|迷霧廢墟
dg_39|枯萎生命之樹|死寂沼澤
dg_40|哥德風暴術士|雷鳴懸崖
dg_41|暗黑洋娃娃怨靈|玩具舊宅
dg_42|血月狂歡小丑|荒廢馬戲團
my_01|伏羲八卦神女|先天八卦
my_02|精衛填海少女|東海填石
my_03|洛水河伯祭女|洛水神祀
my_04|山海經青鳥使|崑崙傳信
my_05|玄鳥降臨王女|商朝玄鳥
my_06|燭龍日夜司辰|燭龍神光
my_07|白澤瑞獸書姬|白澤書院
my_08|九色鹿神女|九色神鹿
my_09|崑崙玉女守門|崑崙天門
my_10|西王母瑤池侍者|瑤池天宮
my_11|東海龍宮明珠姬|龍宮深殿
my_12|蓬萊仙島採藥女|蓬萊仙境
my_13|巫山雲雨神女|巫山仙境
my_14|月桂樹下仙使|月宮桂花
my_15|黃河水神女將|黃河奔流
fa_01|黑玫瑰花妖|黑玫瑰秘境
fa_02|紫藤月下花妖|紫藤月色
fa_03|夜蓮水鏡花妖|夜蓮池中
fa_04|雲端水晶圖書館|水晶書閣
fa_05|漂浮糖果星球|夢幻星球
fa_06|螢火森林公主|螢火秘境
fa_07|鏡中花園少女|鏡面花園
fa_08|彩虹泡泡城堡|彩泡宮殿
fa_09|星河旋轉木馬|星空旋木
fa_10|月亮船夜航|月船夜行
fa_11|玻璃玫瑰溫室|玻璃花房
fa_12|冰雪女王·冰封廢宮|冰宮廢墟
fa_13|極光聖女·北境曠野|極光曠原
fa_14|夢境羽毛階梯|羽光天梯
fa_15|白玫瑰花仙|玫瑰仙境
fa_16|藍鈴花精靈|藍鈴幽谷
fa_17|精靈獨角獸|迷霧溪流
fa_18|時光沙漏法師|璀璨星軌
fa_19|浮空島羽翼|雲海天宮
fa_20|深海發光水母|海底水晶宮
fa_21|櫻花雨劍客|落櫻古道
fa_22|翡翠綠野仙蹤|巨木樹屋
fa_23|黃金向日葵女巫|烈陽花海
fa_24|星願瓶使者|銀河瀑布
fa_25|精靈茶會仙子|巨型蘑菇村
wa_01|水母光影人像|水母館
wa_02|雨中玻璃花房|玻璃花房
wa_03|蓮花池漂浮裙|荷池水面
wa_04|海底珍珠王冠|海底宮殿
wa_05|藍色泳池廣告|泳池清藍
wa_06|水晶雨簾棚拍|雨簾銀絲
wa_07|紫藤橋下水鏡|紫藤倒影
wa_08|海底珊瑚燈光|珊瑚礁光
wa_09|溫泉薄霧仙境|溫泉霧氣
wa_10|玫瑰浴缸花瓣|玫瑰花浴
wa_11|月光海面倒影|月海夜色
wa_12|冰下透明凍湖|冰封湖底
wa_13|深海人魚眼淚|璀璨珠貝
wa_14|白紗水底漫舞|蔚藍深淵
wa_15|螢光水母之戀|迷幻海床
wa_16|霓虹珊瑚仙子|斑斕礁岩
wa_17|落花水鏡倒影|清澈溪谷
wa_18|水下芭蕾光影|波光水面
wa_19|神祕沉船寶藏|湛藍遺跡
wa_20|泡沫人魚公主|幻彩氣泡
wa_21|水底沉睡玫瑰|靜謐水域
wa_22|月光極光泳池|夜色水鏡
ref_01|月光水晶濕髮|藍月燭影
ref_02|深海人魚光域|海豚水母
ref_03|奧林帕斯女戰神|月輪神殿
ref_04|天空之鏡毛衣旅拍|雲海倒影
ref_05|雅典金色神殿|薄紗女神
ref_06|羽毛花海婚紗|湖畔白羽
ref_07|藍白花冠舞姬|春光花舞
ref_08|土星雲端神殿|星環天階
ref_09|粉金愛神花園|玫瑰晨光
ref_10|紫光蝴蝶近拍|水晶微光
ref_11|彼岸花水下狐影|白狐幻境
ref_12|黑金王座朝拜|巨殿獻禮
ref_13|檸魂月渡透明船|夜河茶夢
ref_14|破碎水晶濕髮|暗月碎光
ref_15|黑翼月宮兔靈|紫月階梯
ga_01|白色機甲駕駛員|機甲庫
ga_02|霓虹偶像主舞台|全息舞台
ga_03|電競女王宣傳照|電競棚拍
ga_04|星際醫療官|太空醫療艙
ga_05|火焰格鬥角色|格鬥擂台
ga_06|冰霜法師皮膚|冰晶神殿
ga_07|沙漠槍手冒險家|沙漠酒館
ga_08|虛擬都市主播|霓虹城市
ga_09|森林弓箭遊俠|精靈森林
ga_10|龍焰戰鬥法師|龍穴烈焰
ga_11|月光刺客皮膚|月夜屋頂
ga_12|全息舞台天后|全息演唱
